squirrel_id,latitude,longitude,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
10F-PM-1019-05,40.7724691605718,-73.9710541405708,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False
10A-AM-1006-04,40.7747213585387,-73.9761592532482,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
38F-PM-1013-05,40.7950689723135,-73.9544007658685,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
41B-PM-1014-01,40.799368134968,-73.9575986161364,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
36A-PM-1013-07,40.7955418990855,-73.9607701370443,PM,2018-10-13,,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
5C-AM-1006-05,40.7705846185121,-73.9764036522984,AM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-03,40.7908193284981,-73.9589249555235,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
31A-PM-1017-04,40.7917685404482,-73.9634623418761,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
42G-AM-1018-03,40.7978449143313,-73.9521110154872,AM,2018-10-18,Adult,Gray,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
37D-PM-1014-04,40.7950013620207,-73.9574809028248,PM,2018-10-14,Adult,Gray,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
24B-AM-1013-01,40.7854119342538,-73.967097592707,AM,2018-10-13,,Gray,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
